title_lemmatized,text_lemmatized,rating
good thought,do not like,2.0
star,braid small described want,2.0
crap,product come defect look like go return worth fifty tip rust bent pink end do not fit packaging look dirty like touch dirt disgust disappointing,1.0
waste money,stop hold charge month get use like three time waste money,1.0
give gift,person receive gift like,5.0
sad,"perfect foundation I ve bet one thousand , two hundred and fifteen year let formulation consistent light medium coverage fragrance slightly yellow perfect color worth dime skin transition middle age foundation do not realize rare thing product market young skin do not necessarily specify transcend range need include age blur spf tone new line replace heavy coverage quality product line do not work old skin benefit do not line old skin line do not warmyellow undertone orangey thank clear ageism market that s bad",5.0
overly impress especially price,color fine cover pretty coat glitter swatche two coat swatch cure two minute coat main issue set bottle plastic do not polish price think buyer expect set come base coat,3.0
work great black orchid,little tough manipulate black orchid snug fit work perfectly,5.0
awful light brown color,order light brown awful orange color return refund,1.0
excellent gift beard,awesome perfect man bib bread trim cleaning walk bathroom find half decide look well little hair reason man blind great gift worth penny five star fast shipping,5.0
great brush,I m blonde crazy static issue brush tame leave hair silky smooth,5.0
authentic,sure real thing I ve buy product year smell different like bonus gift arko nem avocado hand cream lovely,3.0
color expect,like refill cartridge nice hope light grey color look like dark charcoal search grey eyebrow pencil continue,4.0
quality realistic look,arrive hair fall,1.0
good,hair great wig couple month make synthetic wig look like human hair would not recommend,2.0
convenient home,purchase hood hairdryer covid happy item heat primarily come i d see review know redirect heat piece cardboard can not find suggestion i d love know trick,5.0
love ear,love ear get eleven year old girl birthday love perfect birthday gift,5.0
size advertised,purchase item label description size mini travel size sticker label size ripoff false advertising,1.0
star,light fresh smell clean feeling,4.0
bit upset,hair do not curl happy misleading,2.0
love,favorite mask discontinued mfg pleased find have not try wipe probably use camping,5.0
quality hygienic bit overprice,handy handbag makeup bag use nightstand lip balm do not finger gross beautiful design remarkably chip fade despite heavy use easy clean use dilute dr bronner lavender soap personally bristle soft shed give forty - five purchase pack retractable lip brush duel end bristle end retractable cap significantly money basically pay nice ombre design quality brush mainly design purse blend consealer emergency mainly use lip product come pot hygienic bonus I m stay overnight load brush bit leave balm home brush love wish price well come lol,4.0
meh,pigment definitely matte,3.0
ok,shipping time color weak happy,3.0
dnt expand wet,dnt expand wet they re big puffy that s you re look product be not,1.0
expect,get pay I m pleased,5.0
good stuff,look love,4.0
hair restraint use,chronic headache sensory issue hair constant issue discover need know thing use restrain hair mom suffer chronic headache give gift thing pull hair scrunchi change life say thick curly hair invisibobbi tend stretch stretch day scrunchi version exception vast ability stretch magic frustrating people reason use recover swap week do not bother help small price pay,5.0
bad hair,product total trash waste money beware seller,1.0
worth money,item three weeksno change skin disappoint do not waste money,1.0
love product do not like bottle come,love product do not like bottle come spill dribble place end waste spilling look like cheap bottle find makeup,3.0
pricey work,work advertise feel like price little salty exactly need,4.0
soap lovely scent,beautiful goat milk soap soft lovely fragrance come mesh bag soap use exfoliate shower use bag hang soap order,5.0
handle short long handle,handle short long handle raise price,1.0
decent,feel bit light tell break easy work great price,4.0
bad quality,do not buy,1.0
junk,junk fall apart get bag,1.0
good,love sulfate free strip hair natural oil instead clean hair condition time think use conditioner life love growth oil like jamaican castor oil,5.0
remember apply sweaty armpit hand,starter apply finger be not pleasant smell be not strong do not long do not smell sweat away work couple hour maybe,2.0
huge disappointment,plan tattoo night fun event girl weekend lady tattoo apply night tattoo visible morning light read follow direction exactly kit huge waste time money,1.0
suck,thirty min suck,3.0
can not ninety - nine color,beautiful pack 1b idk order get mix,3.0
amazing,stuff make skin baby soft tiny bump arm leg go away couple week day husband randomly comment skin feel soft say life verbal type guy know work,5.0
totally useless light,light work light bulb replace totally useless light last three month soo disappoint pay consider lot money inferior product,1.0
confuse,device appear fine know use prepare confused instruction er helpful,3.0
expensive small size,way expensive,3.0
suction,suction return,1.0
like,way wear twelve hr shift get headace tight slide,1.0
great shaving soap,great shaving soap strong lemony smell unisex use picture misleading think I m buy box stick btw supermarket turkey cost one zero stick,5.0
great hair soft,receive hair early soft have not try hair come pic install hair,4.0
good starter set 10year old boy,love use day,5.0
stop work two month daily use,different sure stop work month daily use,1.0
do not awful smelly etc product,attempt use take package washing hair plug smell come horrific concern properly use poor design quality draw thin weak etc joke cord control button hang head area awful design thread cap loose awful smell thin plastic lining horrific strong chemical thought let away warm concern scary head think malfunction l plastic good way describe product pc junk think go trash able majority money shipping get brand expensive look like good quality recommend product,1.0
idea good,idea product good correct color suggestion incorrect order brown go auburn color color correct five star return product issue,3.0
comfortable,love,4.0
miss piece,product miss piece retain blade impossible use like chinese knockoff,1.0
adorable,buy daughter minnie costume halloween two thousand and eighteen minnie ear adorable love separate piece clip daughter be not fond headband perfect compliment receive definitely recommend,5.0
excelente,perfecto,5.0
great idea theory,prosgreat way combine small bar soap soap fragment make lot creamy lather consthe ribbon come quickly hard thread ribbon tie bag closed soap do not stay,3.0
nice use work,patchy do not day overall good guess pay,3.0
eh,coarse tangle easily curl pattern like model pic,2.0
star,great reader opinion,5.0
durablebright thick,thick durable band nice bright color love come pack,4.0
dry,product fully driedcure forty - five minute I m wait I m go try return waste time money,1.0
nail bend damage arrive,box damage arrival,1.0
print order,print order great order cover hair work skull include one marijuana leave absolutely select quality fit great print absolutely awful,1.0
brush fine airfloss work,title tell,3.0
do not like waste money,applicator straight do not curve island end lash do not attach lash properly try fix pull lash,1.0
check size buy short standard razor,razor stand look sturdy durable short standard razor gillette dollar shave club base picture razor hang fact claim fit razor do not bother measurement provide razor lean stand flip easily contact customer service ask return item nice tell return cost effective offer twenty discount I m stuck I ve learn lesson double check,3.0
break,purchase thought go work couple month wheel break different stool couple week later ball bearing wheel start fall stool lose wheel replace poorly worth money,1.0
dry return recommend,tube completely dry base review problem size tube time return makeup seller return process smooth,1.0
great deal,daughter love try new hairstyle barbie small hard deal practice style find pinterest youtube shed hair price great deal dog like lol creep,5.0
star,real sharp cut precise,4.0
work great do not,day i d ha month stop work would not heat want replace stock unavailable,3.0
useful showering,useful take shower operation,5.0
star,do not color show five exactly,1.0
have not notice difference cream,have not notice difference cream have not night day day time update review later date,3.0
favorite hair product hand,stuff long time perfect bamance great smell great hold crustiness great quality mean large size work form cream great style long hair part great messy clean cut look,5.0
buy,like clean fresh make foot hand feel do not leave sticky residue like wipe,4.0
stop work use,do not work,1.0
displease,I m satisfied like picture,1.0
nope,feel look cheaply goin send,1.0
careful pin,cute love give star pin stop rotate move try tight bun hold matter pin slip clip adorable look gorgeous find way secure pin star try add bobby pin secure pin seriously look beautiful hair,4.0
curler look nice do not work,curler look nice do not work can not lash curl blend black curler use silver lash easily see finger hole people small finger thumb do not fit uncomfortable try hold curler try daughter do not like skip numerous positive review do not waste,1.0
loo great face,love product way look,5.0
last two five year,price work fine job battery life problem couple year shave day think bit time pretty inexpensive maybe ok trade,2.0
thing say,thing say reason brake do not know oily skin,3.0
good,powerful blah price ok product,2.0
expensive what s inside,beautiful delivery fast etc seriously expensive single sheet tattoo stay couple day pick set tattoo mean oomph endurance department,2.0
soap,I ve cp soap past six month nice conditioning ingredient bother buy three pound arrive big leaky crack container fortunately inside plastic bag mess I m think ill buy small size time hope container do not crack small container prime support will not pay shipping charge spoil prime lover,4.0
watery slightly oily goes smoothly work moisturizer,like product use pump day need hydrophilic mean oilsoluble do not need can not face red accord peptide enrich ease inflammation like fresh scent emollient work moisturizer I ve cleanse exfoliate sure I d buy product expensive skin feel fresh soft,4.0
nice scent good chapstick lipstick base,favorite scent lipsmacker use chapstick blend lipliner lipstick,5.0
fantastic,favorite headband love pretty rhinestone pattern sparkly color big look pretty help dress hair outfit comfortable headache free day wear good quality love suede back underneath princess headband,5.0
thing suck,thing suck good arm hair that s questionable,1.0
nice wig,like wig come handy 2p cosplay I ve straighten cut wig cosplay use wig cosplay future,4.0
shower cap review,expect thin,2.0
happy,size available able use have beautiful toenail easy,5.0
great diffuser,I ve plastic diffuser originally rubber band inside broken fall buy I m go trip wish i d purchase year ago fit hairdryer stay place love collapsible great travel,5.0
disappoint,small need large size thick ponytail,2.0
battery die fast worth,battery die fast worth spend money cool mist think hot steamer,1.0
good service,excelente producto y buen servicio,5.0
bring hairstylist style easy able,work create full look updo bring hairstylist style easy able simply hair ponytail head push curl curl iron easily pin sponge little hairspray style stay wedding hour crazy dancing finally take hair wee hour morning scalp hurt bit actually cascade nice flow curl,5.0
worth buy,come right time actually look well person love can not wait try new look update later I m,5.0
knock,knock,1.0
meh,I ve brush get face brush amazing packaging super cute three eye blend brush shed like crazy,3.0
body scrub,lovely use make skin soft nice scent,5.0
small,good brush small buy sherpa inmatte ok job,4.0
perfect device,expect good item,5.0
review sake review,plenty review trimmer will not detail want sure rate item think overall trimmer good product suppose month use twelve time week develop pro con trimmer replace cheap remington trimmer year rechargable battery long hold charge know change tough year thing can not past one having remove general trimmer replace mini trimmer pita think old remington build minitrimmer flipped remove flip use philip pull gate swap basic trimmer mini trimmer pretty annoying grant big deal grand scheme life morning routine pretty annoying remove gate start swap part hair way vacuum chamber get scatter two complain height adjustment change encounter add setting match old remington reflection product mind you ll adjust new product height do not adjust hair short three long two short need two five find press hard three set close lot work complaint product personal preference three reason hair lip close underside nose trimmer gate bulky hit nose cutter clip hair remove gate carefully trim hair height surround hair trimmer guide annoyance live vacuum catch hair remington flung hair battery life solid guess time tell mention wished come stand concur nice overall solid product lot facial hair bet great purchase,4.0
little cheap brush break time,little cheap brush break time hey pay job,3.0
frizzy,fabric frizzy result hair chan easily frizz smooth hot tool layer judy do not come close sale video,1.0
foggy,fog like crazy tiny sure know size go that s one thousand and twelve worth star stick,2.0
smell,read item smell icky ruin experience purchase clean cloth,1.0
finely mill do not look like powder,overall think great powder love finely mill soft velvety skin do not look like powder set makeup place look feel nice skin good product I m happy thing do not like hard lid twist initially do not like product page talk natural ingredient baichi flower seed oil jojoba seed oil powder ingredient list take star recommend powder like do not usually like powder one like finely mill you ll love powder you ve trouble find powder work tend skin look dry powdery cakey recommend try come outer product box china cruelty free logo peta ingredient list include mica paraben odd product page state natural safe ingredient baichi flower seed oil wateroil balance longlaste makeup jojoba seed oil moisturize skin ingredient find ingredient list product box do not understand come hate there s like blatantly false claim product page make trust brand jar powder square good size plastic clear frosted matte design box nice look hate little confused initially think twist go twist do not want think square maybe pull carefully try pull do not want budge try twist time put effort finally move get like go halfway would not twist careful do not want powder getting lift come think time easy be not need elbow grease single time annoying trouble thing like powder clear sticker cover hole appreciate yank powder would not get know brand do not I m glad thing kind wish hole powder wish square like jar dump powder lid dip brush powder leave dump jar usually cap leftover powder carefully powder fall main powder get edge jar photo sure carefully dump powder put lid hard time decide shade want usually translucent like little extra coverage skin tone powder powder option pink powder hear pink good brightening think description middle product page do not help one ivory white say suitable fair skin create white makeup initially think translucent read description I m fair skinned do not know mean white makeup like go white tint do not want two natural color suitable race create light makeup suitable race imply translucent do not look translucent look like fair skin tone color three soft pink suitable pink skin create glossy ruddy makeup fair skin I m cool toned pink skin make sense glossy do not bad I m sure mean mean go glow want ruddy makeup confused thought end go two natural color box come two flap look color powder frost clear look soft pink dump lid look soft pink swatche fair skin tone color think get right shade two natural color definitely work fair skin do not suitable race like blend transparent like hint fair shadewhite I m sure work medium darker skin tone powder finely mill velvety feel touch thirty - five normal dry skin extremely dry area suffer hormonal acne experience powder skin look dry powdery cakey like powder specific place absolutely need there s handful powder like purpose look good skin handful powder like skin thing common finely mill find fine powder look like powder face set makeup place oily area make look drypowderycakey,4.0
good week,good week start tangle break wife do not like keep tell pure human hair synthetic,1.0
great product,easy way world soft skin body sixty tell soft smooth skin feel salux day glycolic wash lotion twenty - three time week plus sunscreen day,5.0
accurate good unit,unit look like picture 100happy purchase,5.0
love item dyson,add nice look hair dryer,5.0
instruction,read lot review say do not fit skeptical be not mean fit perfectly think ppl forget suction cup ear press lightly create suction suction ear block dryer noise heat stay release suction like give five star apparently need instruction help,4.0
block light plenty room long eyelashe velcro adjustable strap,fan bucky eye shade buy year ago review bucky quality go downhill leave functional will not long advancement eye shade industry emphasize design block light 3d cushioning eye shade tight variation strap design velcro vs thin flat buckle order six different brand problem like buckle strap matter thin light location feel elasticity band tend band tight adequately block light despite cushion design nose specifically design cushion eye deep order prevent come eyelash extremely long natural eyelash give hope try work way desire completely block light zero pressure nose plenty room eye long eyelashe barely touch lash elastic band tight elastically favorite realize velcro closure time provide link try goto,5.0
feel like brush suck foundation,surprised work brush year excited find do not use product feel like brush suck foundation waste money sick waste expensive makeup try satisfy especially price,4.0
lov smell,buy,5.0
do not buy,do not waist ur money cheap look horrible like hay,1.0
great hair,receive package get hair crunchy cowash hair feel great shed little wash major curl pattern leave absolutely love hair,4.0
cute hair creator,great purchase mother able hair she s able easy hair help fix look cute face look elegant easy love,5.0
smell nice strong,big wirey hair huskygolden retrieverpoodle mix eyebrow grow long cover eye get hair gel slick work five hundred and ten minute start runjump play fall right hair thick heavy tie knot I m sure dog work fine be not right ultimately end trim eyebrow work hold smell great thoughlike professional hair dresser product scruffy boy feature hair length texture,3.0
great,do not cut sharp contact blade be not accurate,1.0
oh btw good vendor amazon,honestly good purchase think I ve amazon see look pick base search thank guy,5.0
good body moisturizer,stuff good feel fantastic shower bath body butter leave skin soft feel luxiorous leave soft beautiful scent time dab neck chest pretty scent make feel feminine pretty good pamper tool skin,5.0
great scent come small bottle,love shower gel smell like ripe peach lather great complaint available eight oz size pretty quick,4.0
make second purchase,two ombre bundle purchase real hair horrible mixed review decide purchase hair amazon need blonde bundle day choice check amazon surprise exactly length color need super affordable surprise hair soft beautiful ombre shade brown natural tone platinum semi permanent want dimension balayage dem permanent hair take color do not tangle look healthy shiny tip fifteen weft take heat,5.0
expect,like,3.0
open bottle,think bottle open semi dry goopy gelatin like substance remove plain nail polish love try functional bottle,3.0
far great,20f weather have not get test warm temp inside like 6970f inside sweat wake area waist stuff sweat morning do not issue night go dinner friend feel scalp sweating forehead nose usually sweat stay pretty dry morning wake sweat undesirable place I ve try product day holy moley wake morning soak huge game changer I m concerned overheat warm day use caution instruction technically use night one hour showing do not use day maybe that s follow one hour shower thing experience sting pain slight mention usually shower exfoliate skin sensitive immediately folk immediately maybe that s sting lastly use light moisturizer face cheek dry I m sure I m allow mention brand ive figure rest combination skin heavy do not leave residue help you re sweater,5.0
small thought work do not lot hair,small thought work do not lot hair,4.0
great product,love stuff greeat way light cig pipe suck harmful fume light bit expensive local smoke shop reason four star,4.0
break,two month clip weak break,1.0
magical,magical take time use cure,5.0
bs,say transparent brown lace 20inches order,2.0
four five star rating lie,product work lash remain poker straight rate star lie,1.0
effective,doctor prescribe effective,5.0
expect,saddest little bag I ve see three case like bought figure like similar be not flimsy do not feel durable disappointed hold like bag deem sewing box buy,3.0
perfect gift good friend,give gift love love bath can not think take ditto,5.0
good hair true length,I m disappointed second purchase actually love hair purchase exact product fourteen sixteen eighteen inchmy eighteen inch long time actually fourteen pay good money want buy,3.0
definitely feel heat,order come sixty ml tube slimme cream use disposable glove apply keep accidentally get eye do not intend focus area cream abdomen admittedly hard area lose belly fat regardless method burn delay ten minute start definitely feel strong sensation painful reassure cream activate like probably folk use cream thing time try lose weight watch eat exercise drinking water etc slowly see reduction belly fat difficult cream measure take produce result consider twelve ninety - eight tube reasonable price add cream weight loss effort continue use long continue result,4.0
garbage,garbage return immediately buy,1.0
okay,okay do not color picture,3.0
exact,come fast exactly advertised thank,5.0
star,oud oudless smell,1.0
easy install,product easy use install like convenient size,5.0
far like,non greasy far like,4.0
like want try different,easy use,3.0
true picture,excite ordered headband receive like okay look like kid wear wrap fourteen mos old child head wear feel small lot imperfection knit I m going send bc cost actual band,3.0
good,good product quality good come set share bottle waste particular shade strongly recommend dnd four hundred and thirty - six apply,4.0
worth buy,hair great quality affordable,4.0
ideal,like color clip theory way they re bent practice material rough fine texture hair fair typical material kind clip especially price point able use worry hair break purchase expensive clip time work beautifully do not risk damaging hair,3.0
happy customer,good quality easy use,5.0
standard,will not buy,1.0
good wig price,good affordable wig tangle brush,4.0
love,favorite eyeliner time,5.0
pull hair like moss old stump,discomfort gamble leave long recommend little pretrimme beard trimmer help,4.0
listen recent ginger buyer,need fully ginger wig stumble list sale nine ninety - nine disappoint arrived dark root ginger color beautiful wig need would ve great wig root thick despite price sudden go check order review show ginger dark root wig despite original photo fully ginger wig listen ginger buyer purchase wig recently,1.0
moisturize,like product definitely add moisture do not puffiness,4.0
love,beautiful,5.0
false advertising,suppose tassle earring plastic mainly buy set royal blue tassel round plastic backing disappointed order sandra,1.0
hate,super cheap,2.0
loosen wear,time wear work great 3rd 4th wear do not work anymore,2.0
support,have not work wig bit shed soft beautiful,4.0
hold good windy today wish,hold,4.0
disappoint,disappoint product acetone polish remover eat away finish outside bottle clear plastic bit drip eat away chrome finish pump group frequently purchase purchase acetone expect pump work that s,2.0
worthless,good do not thing,1.0
star,work great electrical power battery recommend,5.0
slightly creepy plastic hand,finger look creepy practice hand job plastic hand,4.0
awful tangle immediately look like cheap wig,look like cheap wig that s exactly patient save human hair lace wig garbage,1.0
great product,purchase three box like product travel clean glass product useful easy use wipe come handy package easy tear apart price point good optician handle product find practical handy wipe easily clean glass highly recommend second time purchase product,5.0
like pic,recieve look nothibg like photo literally highlight flat blonde color layering straight basic middle look cheap fake,1.0
waste money,look product easy nair find product eager try do not work foam disappear quickly instead remain state direction purchase nair use product waste money,1.0
piece important realize,sure want particular hair piece ok hair feel slick piece hairstyle misplace photo add find super important realize hairpiece small clip worth hair look like vendor photo need buy one thousand and twelve,4.0
fairly dark beige fine,super fast shipping fairly dark beige work fine live wig grip band,4.0
star,provide matte finish,1.0
bad smell I ve,love scented soap soap nose hairs curl eye water yike think bad wrapper open shower throw use surprise confetti stink,1.0
small bottle,wishlist receive gift expect bottle tiny take picture size bottle think small worth money,1.0
child size,way small child size small head,1.0
do not waste money okay,meh dry quickly,2.0
good value beard comb,nice comb beard good value,5.0
star,hold item,4.0
star,work expect,4.0
good color,color,4.0
work smell bad,antiperspirant work great unfortunately lemongrass scent mix body odor sweat end smell skunky recommend brand scent,3.0
show,good quality money,4.0
short hair,brush nice strong tangle hair bite big spectacular,3.0
nice,little bit pricey opinion make gauge easy comfortable ear heal fast last use need,4.0
great good,compare product la prairie cellular night repair cream one 7ounce box well buy time release moisture intensive cream think well good kinda oily compare night repair cream use,4.0
love,zero finesse shove toothbrush one five year old face bit exaggeration turn scared week gradually introduce little time love babe love independent do not want help toothbrush make feel confident tooth getting brush,5.0
do not work pitbull,get help dog shed wish spike bit glove close,3.0
clip perfect size great quality,clip perfect size great quality seller doctor lock great receive shipment day nice job packing item,5.0
nice product small man hand,handle small man hand,2.0
brush brush,work hope long hair,3.0
mislead,ad show case description state sell individual tube,1.0
durable,rip second time,1.0
big gauge,specify description big gauge people try end piercing bleeding attempt pierce large worth buy,1.0
love,love,5.0
decent concealer,product decent need couple layer cover stay,4.0
perfect teacher,buy send note student distance learn love they re overly girly cutesy thick durable selfsealing envelope help you re send card good price know ill use nice searching card need,5.0
stye comb,like combs hair good,5.0
liner difficult remove,love lash easy apply method magnet eyeliner process difficult remove rubber like texture real eyelash extremely difficult,3.0
cheap quality,cheap quality,1.0
use,conditioner rinse hair leave oily feel love yes product,2.0
loss touch sensitivity,be not proper adherence screen touch sensitivity lose finally two day misery fun retype five word text time constantly,2.0
beautiful lash,good lash fit hooded eye love,5.0
open stick completely dry purchase,please disappointed,1.0
purchase customize logo,zipper quality material look cool great gift boutique,4.0
star,ok,3.0
add fragrance breakout,I ve purchase organic aloe vera gel definitely add fragrance ingredient break,1.0
bad quality durable,good small size easily peel,1.0
cause horrible rash,actually purchase mask grocery store do not want experience I ve reaction I m miserable can not sleep seriously amazed awful honestly product do not feel like foot well result regular lotion wear pair sock minus rash,1.0
stick,direct quick dry clear coat wait hour start fold laundry nail polish start peel,1.0
gift closure,gifted friend have not complain beautif hair,4.0
product work,order helen troy brush iron june buy product locally I ve order amazon recently day go use product time work heat check electrical outlet fine heat go brush iron purchase helen troy product number year,1.0
excellent soap,large bar good price olive oil palm oil perfume slight natural clean smell lather stay hard turn mush,4.0
essential,videoidf87eea60e8bc4cbd7a8e1b8d53382a0f buy shaving kit gift twenty year old son shaving kit see picture list impressed package arrive excited box nice open basically stand shaver shave soap bowl brush think sort cloth I m give product four star feel like miss direction maybe be not suppose do not know kind look like lol nice kit thing i d suggest add razor sample shave soap little instructional pamphelt people try soon purchase kit discount price one hundred honest unbiased review,4.0
star,job,5.0
good brush shed,2nd torino brush enjoy product price point particular brush shed entirely feel rate shed ill need soon,3.0
star,softee overprice amazon refund money,3.0
hair hang forehead,dislike return,1.0
horrible,hair shading buy waste money,1.0
delicious soap yes,love soap gentle smell fantastic scent enticing believe heavenly natural love ecofriendly package definitely recommend soap try,5.0
greasy smelly,product greasy expect hope light cream work deep moisturizer use do not use do not like odor know natural product scent thing worry do not think smell like dirt maybe get bad batch do not know,3.0
great quality,great quality beautifully package get send extra scrunchie present,5.0
way cute,get compliment bow suprisingly big,5.0
false description advertise pack three,false description advertise pack three shipment contain one item return usual channel guess personal hygiene item,1.0
creamy quality,love texture thick body cream smell amazing tell quality product love do not test animal natural receive promotional discount,5.0
help mask go nose mouth,serve purpose,4.0
mini sized hair brush cute tiny guess times wash kid hair car,mini sized tiny hair brush size cm pay close attention like stick kid portabrush cute plus tiny mirror guess detangling brush purse brush child beware charge realize dollar check write company upset state rush delivery get later date list actually rush,3.0
good stache wax,good mustache wax market I ve mustache wax wildland fire fighter wax hold summer heat fire easy warm morning easy mold stache want style firm hold recommend product especially want salvador dali style stache,5.0
color picture glittery silver,glittery silver tone describe picture disappointed mislead,1.0
love crown,I m glad order cute pretty price six year old love bit disappoint get different colour happy purchase,5.0
super cute comfy,fit child super cute comfy wear bed hair messy,5.0
good product,good product work perfect skin bad smell,5.0
work,turn do not immediately turn fan turn half way good five min kick want maybe get defect,2.0
need return item,want nice yellow color like picture show get totally different ugly yellow mustard color,1.0
reaction await result,product week find skin dry use moisturizer slight reduction wrinke soon tell use evening clean skin time tell dispense nicely absorb readily skin,4.0
star,great,3.0
happy customer,videoid7f07e537155487f58a111a5d09009239 great condition lovely packaging love lash good selection,5.0
star,work great wire short,5.0
glue fail right away pop,glue fail right away pop short time turn powder,1.0
leave residue,want like shampoo conditioner bar find coconut oil derivate break buy bar ship worthwhile okay sensitive skin scent pleasantly mild bar hair feel kind sticky matter long rinse use notice grimy film brush guess residue shampoo bar clarify shampoo night hair feel clean maybe donate rest shampoo bar,2.0
battery charge,buy product son three month ago long charge can not recommend product last three month,1.0
adequate probably good,good mirror mean battery life good do not use lead anymore cause inconvenient charge time stand cheap plastic definitely get job place time,4.0
star,package good delivery fine do not notice big change old stuff,3.0
good deodorant,deodorant little bit year amazing struggle heavy sweat pit deodorant way smell couple hour lume pit smell good forty - eight hour sweaty irritate anytime try go normal deodorant literally painful pit break smell linger deodorant I m one hundred vomit lume roasted coconut deodorant smell like ginger bread,5.0
enjoy product,enjoy product soothe eye area start notice result week use lot eye pack package great,4.0
bottle scent baby lotion,order sell kyotoitee japan usthey remove review early product receive clear scent baby lotion suppose unscented post question say theirs smell like return case,1.0
good product,amazing,5.0
feel great,doctor office plesantly surprised result want time could not able result please,4.0
amazing,nice try use lot plastic great idea nice travel have home easy clean easy storage nice case three piece,5.0
que funciona como dice el articulo,este producto lo compre por que necesito labiales mate de larga durabilidad y es asi solo dura muy poco tiempo en los labios la verdad gustaron,2.0
plug,item describe,4.0
good son skin,far good son have eczema issue hand slowly go away soap,5.0
silky soft,love way hair feel soft silky do not tangle wash definitely buy,5.0
love iit,love good collection,5.0
will not buy,joke do not wash face stay evening take shower later eveninggone say stay question wash face buy,1.0
worth money,be not worth money get hot return,2.0
work waste money,spray consistently fully charge mist properly go trouble shoot distil water good,1.0
little hair like need,little hair like need medium hair like thick thin,1.0
look cheap be not worth price,purchase gift receiver do not like,3.0
great product,great product year right shade,5.0
way small makeup remover rag do not,way small makeup remover rag do not realize go waffle pattern side do not know,3.0
soft pretty,hope true red orange color pretty nice quality fabric stretch,3.0
meh,maybe do not know use properly hot mess eyebrow try wipe wand completely mess,3.0
epic,stuff great yes citrus smell overpower light squirt pump hand massage hand rub face finish elbow knee pump initially oily way light oil minute oil dissipate leave softness great use alternative spf base moisturizer do not need spf winter time do not spend time outside summer ill switch jbs spf base moisturizer,5.0
ehh,hair soft tangle quickly difficult work,1.0
good,good,5.0
,smell fade quick will not purchase,3.0
ehhhh little low quality rough,ehhhh little low quality rough pull hair small look,3.0
cheap,cheap earing would not close small thought,1.0
good travel bottle,super convenient easy pour shampoo lotion body gel sanitizer suction cup come handy hotel bathroom international travel se asia local business trip hold check baggage reason give five star trouble squirt shampoo soap try squirt small bead shampoo end palm shampoo great product recommend travel like comfort product,4.0
disappoint cosmetic product,do not coverage three layer product do not look like great coverage prestige brand I ve see well result drugstore foundation try shade medium look like nice medium shade compact way pink tone I m yellowish look ashy enhance appeareance fine line ill stick cc cream holy grail makeup product,2.0
star,cheap break,1.0
star,excellent product,5.0
horrible texture,colour different picture disappoint open package texture great purchase,2.0
good buy,short hair difficulty lift arm brush iron perfect light weight easy use puff want hair shape easy iron,4.0
amazing,love product I ve like easy use beginner highly recommend,5.0
false advertising,knock product real brazilian hair,1.0
messy,want like product clear liner ok black eyeliner messy hard,1.0
love product hate come tho,package deliver bottle half bottle ok that s give star far product go I ve buy product store town store quit selling that s order product wonderful fine hair help body smell great do not leave hair sticky,1.0
star,recent shoulder surgery help hair dry non dominant arm,5.0
love,love clean tooth feel awesome easy gum,5.0
impressed,supper flimsy clip do not hold hair look cut photo faffe do not come struction,1.0
fan derma e,cream treat face right,4.0
okay do not know buy,product work okay thick goopy tell that s way suppose difficult apply coat nail bottle say nail five six minute product description amazon say eight ten minute definitely take ten minute eventually come do not know buy thick goopy do not think I m going use bottle despite expect bottle size,3.0
meh novelty item,scub taste pretty good scrubby scrub two second sugar melt definitely be not balm heal novelty item,3.0
good curly hair,product good dry curly hair get hair clean condition order three pack,5.0
big expect cute,way big expect like normal sized hair brush little girl cute maybe daughter finally stop brush hair fork,4.0
effective,product month notice little difference whiteness tooth,2.0
nice wave leave thirty minute,easy use daughter do not want leave long say heavy curler hair occasionally hook that s pull hair curler come apart easy fix do not leave wave fall pretty quickly think little patience work happy purchase,4.0
smell great give beautiful,smell great give beautiful shimmer,5.0
bad improve,overall bad improved remove claw tight clip ponytail hair do not blend exactly shade buy p427 tighten cord bun work like charm think look cute lightweight con wear day ill secure bobby pin piece do not clip inside net secure hair wish elastic cord adjuster slide tighten tie hand tight stretch net bun hair start shed wore,3.0
great expensive seller,love soap actually pay crazy reason take star,4.0
use double,wash hair twenty - three day need use triple product clean hair product do not sud straight hair be not thick product smell great,3.0
good product need multiple application,good job apply multiple time remove gel polish let ten minute time easy apply,4.0
star,good product printer stop work want money,1.0
small good,small container do not room label sample pink papaya skincare product www pinkpapayaparty comkimstroud work small sample do not want,4.0
great beginner,lash beautiful easy use glueeyeliner do not long I d like use method regular lash glue think perfect try learn apply lash,4.0
star,want,5.0
update get dud,initial impression high quality gold dollar factory razor good balance appear symmetric scale good quality acrylic little thick blade come rest thickness scale push apart little fit shave ready hone update review initial impression good gold dollar assembly quality grind I ve joke eventually take beautiful edge hold buy travel instead take expensive vintage one like tinker bit practice hone technique updatethis razor unfortunately edge go trash bad hit miss hardened temper properly,1.0
star,great,4.0
easy wash,keep hair lot drier shower plastic one cute,5.0
great quality well great length hair,well great length good quality thick hair,5.0
good value great shampoo,leave cat fur silky dandruff free i d recommend,5.0
cheaply lifespan three week,cheaply break three week,1.0
star,strong skin breakout,1.0
bad quality,I m disappointed braid damage point do not look like braids loop crochet soo tiny hard,3.0
cheaply do not hold,I ve wear lash decade bad I ve buy glue band thin glue removedno lash wear twice save money bad lash,1.0
like picture,receive love color,5.0
